nyc_tractIDs,events_2001,pop_2001
36081024000,28,5719
36081024300,3,5260
36081024500,2,4703
36081024600,11,11
36081024700,0,1503
36081024900,5,5141
36081025100,6,5523
36081025500,4,1815
36081025700,1,1507
36081025800,4,1702
36081025900,12,3380
36081026000,5,1706
36081026100,7,7250
36081026200,3,1175
36081026300,8,6025
36081026400,4,2188
36081026500,3,4530
36081026600,2,1795
36081026700,18,6372
36081027000,0,1487
36081027100,8,8893
36081027200,3,2151
36081027300,57,9376
36081027400,0,1825
36081027500,33,7091
36081027600,3,1218
36081027700,18,9299
36081027800,3,2262
36081027900,15,6717
36081028000,2,1683
36081028100,24,6080
36081028200,0,1340
36081028300,33,8158
36081028400,1,3262
36081028500,15,4953
36081028700,12,6512
36081028800,5,4352
36081028900,27,5453
36081029100,24,7114
36081029300,1,1364
36081029500,3,3778
36081029700,4,1982
36081029900,0,17
36081030902,6,7953
36081031700,2,6133
36081032000,4,4592
36081032700,5,4281
36081032800,2,2181
36081032900,3,4062
36081033000,8,6093
36081033100,0,0
36081033401,2,2597
36081033402,5,13132
36081033700,3,3836
36081033900,5,3673
36081034700,4,3418
36081035100,1,4283
36081035200,2,2509
36081035300,1,2661
36081035800,2,3924
36081036100,6,2265
36081036300,5,2201
36081036500,2,3255
36081036600,13,2634
36081036700,1,2808
36081036800,1,2487
36081037100,0,1415
36081037300,2,2195
36081037500,27,4043
36081037600,2,5937
36081037700,10,3645
36081037900,12,4789
36081038100,16,5449
36081038400,4,2581
36081039400,10,2853
36081039800,0,1752
36081039900,2,3643
36081040000,0,1402
36081040100,8,6836
36081040200,0,1445
36081040300,12,6447
36081040400,4,3956
36081040500,32,3303
36081040700,12,7943
36081040900,10,5188
36081041100,18,3654
36081041300,14,3628
36081041400,5,3676
36081041500,4,3671
36081042600,1,479
36081042700,8,3900
36081043200,4,1116
36081043400,3,1667
36081043900,8,3775
36081044000,4,3390
36081044601,13,2535
36081044602,23,4176
36081044800,0,2391
36081045000,2,1912
36081045200,0,1226
36081045400,9,4298
36081045500,12,12552
36081045600,2,1290
36081045700,3,3390
36081045800,7,1907
36081045900,0,3894
36081046000,17,5748
36081046100,5,2819
36081046200,8,6647
36081046300,7,4047
36081046400,0,1384
36081046500,10,4382
36081046600,2,2852
36081046700,2,7108
36081046800,4,4040
36081046900,6,9210
36081047000,2,3767
36081047100,4,4044
36081047200,6,4047
36081047300,10,3848
36081047500,3,4202
36081047600,0,1452
36081047800,12,5557
36081047900,2,5292
36081048000,8,2635
36081048100,6,6782
36081048200,3,1593
36081048300,3,3781
36081048400,2,5251
36081048500,4,4348
36081048900,6,1248
36081049200,4,5150
36081049301,1,1869
36081049302,5,2779
36081049500,2,1295
36081049600,3,3421
36081049700,1,2676
36081049900,3,4146
36081050000,4,4044
36081050201,2,1352
36081050202,0,1437
36081050400,6,1759
36081050500,1,1652
36081050600,2,1561
36081050700,2,3309
36081050800,0,2037
36081051000,2,1665
36081051100,0,2033
36081051200,4,2858
36081051300,2,2125
36081051500,5,2804
36081051600,1,2115
36081051700,2,1650
36081051800,4,2092
36081052000,0,1682
36081052100,1,2065
36081052200,2,1483
36081052400,0,1874
36081052500,0,1895
36081052600,0,1861
36081052800,2,1480
36081053000,12,2228
36081053200,8,1837
36081053500,3,1118
36081053800,0,1932
36081053900,28,3970
36081054000,8,4468
36081054200,3,5645
36081054500,12,3911
36081054700,28,4710
36081054800,2,2386
36081054900,24,5322
36081055100,32,4668
36081055200,7,3455
36081055300,48,2528
36081055400,5,2473
36081055500,4,2183
36081055600,2,2243
36081055700,24,3942
36081055800,6,1944
36081055900,0,1142
36081056000,0,1808
36081056100,8,12
36081056200,0,1488
36081056400,5,1833
36081056500,4,1165
36081056600,1,1578
36081056700,4,4520
36081056800,12,5276
36081057700,20,3497
36081057900,0,1568
36081058000,2,4094
36081058100,20,2613
36081058300,16,3355
36081058500,36,4127
36081058700,4,3332
36081058900,40,4366
36081059000,1,1225
36081059100,16,5783
36081059200,0,1265
36081059300,8,3868
36081059400,0,1754
36081059500,28,4566
36081059600,0,1583
36081059800,2,1811
36081059900,2,1454
36081060000,0,1239
36081060100,0,2014
36081060300,6,1574
36081060600,1,1507
36081060800,0,1610
36081061000,1,1222
36081061200,0,1707
36081061400,1,1416
36081061601,1,2188
36081061602,0,1506
36081061800,1,1602
36081061900,3,2664
36081062000,0,1554
36081062100,4,2735
36081062300,0,1680
36081062400,0,604
36081062500,44,2256
36081062600,3,2663
36081062700,0,2654
36081062900,4,2683
36081063000,1,1751
36081063200,1,2380
36081063301,0,1457
36081063302,0,1421
36081063500,8,2487
36081063700,8,3099
36081063800,2,3794
36081063900,4,2679
36081064101,2,1639
36081064102,1,207
36081064500,4,1934
36081064600,2,3105
36081065000,2,2988
36081065400,3,2707
36081065600,1,4422
36081065702,0,1508
36081065900,0,1691
36081066000,3,3215
36081066100,0,1531
36081066300,0,2543
36081066400,4,9788
36081066900,0,1702
36081067700,1,1852
36081067900,2,4280
36081068000,2,4351
36081068200,2,1245
36081068300,19,4289
36081068700,6,4702
36081069000,2,3282
36081069300,9,2839
36081069400,2,2905
36081069500,3,2311
36081069701,0,3599
36081069702,2,5017
36081070300,2,2918
36081070700,0,2149
36081070900,1,2427
36081071100,11,4505
36081071600,0,26
36081071900,5,2769
36081072100,3,5216
36081072900,0,1412
36081073100,2,1725
36081073700,15,1867
36081073900,12,4997
36081074100,1,3072
36081074300,11,4350
36081074500,6,3906
36081074700,0,2697
36081076901,2,3578
36081076902,4,1336
36081077300,6,2101
36081077500,2,2461
36081077902,9,5376
36081077903,5,2894
36081077904,3,6288
36081077905,8,2196
36081078800,1,1753
36081079000,3,2485
36081079200,1,2357
36081079300,0,0
36081079900,9,3218
36081080301,6,3940
36081080302,2,3218
36081080900,6,6445
36081081400,2,3633
36081081800,6,3526
36081083700,2,5155
36081083800,2,4784
36081084000,2,6859
36081084500,5,4926
36081084601,0,2809
36081084602,0,1104
36081085300,21,5852
36081085500,10,7086
36081085700,9,6182
36081085900,3,5042
36081086100,3,2452
36081086300,2,7215
36081086400,3,2498
36081086500,12,4191
36081087100,19,1773
36081088400,3,7871
36081088901,5,9197
36081089200,2,8603
36081090700,0,1352
36081091601,3,4189
36081091602,0,20
36081091800,0,16
36081091900,5,5485
36081092200,0,2206
36081092500,5,3378
36081092800,1,3421
36081092900,3,5486
36081093800,11,4431
36081093900,1,3806
36081094201,1,2109
36081094202,8,3735
36081094203,2,5434
36081094500,2,4168
36081094700,2,2183
36081096400,5,3803
36081097202,0,3223
36081097300,1,2257
36081098100,2,1942
36081098700,0,2583
36081099100,1,6645
36081099200,2,2890
36081099701,1,2781
36081101700,3,5854
36081102900,1,3397
36081103300,0,4147
36081103900,4,6161
36081104700,7,7218
36081105900,0,3633
36081107201,0,2611
36081107202,0,0
36081109700,1,2031
36081109900,5,3329
36081111300,0,2518
36081112300,14,2110
36081112900,0,2304
36081113300,0,1659
36081113900,2,3327
36081114100,0,2457
36081114700,0,1787
36081115100,1,1199
36081115500,0,2133
36081115700,1,3458
36081115900,3,4254
36081116100,12,4547
36081116300,5,9347
36081116700,2,2075
36081117100,10,3006
36081117500,5,5008
36081118100,6,1814
36081118500,1,2054
36081118700,0,2494
36081118900,0,2401
36081119100,2,2977
36081119300,2,2340
36081119500,0,1377
36081119900,1,1505
36081120100,0,1708
36081120300,0,1617
36081120500,2,2856
36081120700,1,2777
36081121100,2,0
36081121500,1,3926
36081122300,1,3351
36081122701,3,10048
36081122702,6,6279
36081124100,0,3768
36081124700,2,3634
36081125700,3,3166
36081126500,7,1772
36081126700,8,3110
36081128300,4,54
36081129102,2,3220
36081130100,2,3976
36081133300,5,3845
36081133900,2,1280
36081134100,3,3279
36081134700,3,9014
36081136700,10,5737
36081137700,0,6184
36081138501,3,4653
36081138502,2,8
36081139900,0,1658
36081140300,0,2387
36081140901,0,974
36081140902,2,2480
36081142900,1,3654
36081143500,0,2177
36081144100,1,2982
36081144700,2,2827
36081145101,2,1450
36081145102,0,2480
36081145900,3,2857
36081146300,3,3026
36081146700,9,2737
36081147100,2,3204
36081147900,4,3938
36081148300,1,3031
36081150701,3,2966
36081150702,3,3224
36081152901,0,6256
36081152902,6,4980
36081155101,0,2170
36081155102,4,7827
36081156700,2,1262
36081157101,3,7201
36081157102,1,1570
36081157901,3,4890
36081157902,3,3700
36081157903,0,3852
36081161700,0,4353
36081162100,1,6184
36085000300,4,1761
36085000600,2,2461
36085000700,2,4943
36085000800,4,4899
36085000900,1,2110
36085001100,6,3733
36085001700,2,1684
36085001800,0,1030
36085002001,0,2320
36085002002,1,3227
36085002100,11,3461
36085002700,2,1847
36085002900,6,5291
36085003300,0,3202
36085003600,1,2207
36085003900,1,2196
36085004000,8,11296
36085004700,3,3404
36085005000,3,3669
36085005900,1,2635
36085006400,3,3647
36085007000,8,7421
36085007400,1,3748
36085007500,2,3715
36085007700,1,1563
36085008100,2,4354
36085008900,0,0
36085009601,8,3860
36085009602,1,3352
36085009700,3,3828
36085010500,12,4489
36085011201,3,5607
36085011202,30,5687
36085011401,1,2958
36085011402,6,3272
36085012100,15,3176
36085012200,4,3764
36085012500,3,2817
36085012804,14,3914
36085013201,0,1567
36085013203,1,5485
36085013204,6,5107
36085013301,3,1698
36085013302,33,2845
36085013400,12,3743
36085013800,4,6617
36085014100,3,2197
36085014604,5,6583
36085014605,1,3918
36085014606,0,6540
36085014700,2,3420
36085015100,5,5040
36085015400,0,7
36085015601,3,6427
36085015602,1,3494
36085015603,4,4380
36085016901,2,2971
36085017005,1,4023
36085017007,0,3202
36085017008,4,8145
36085017009,1,4464
36085017010,0,9208
36085017300,0,2537
36085017600,2,4812
36085017700,3,5976
36085018701,3,1747
36085018702,6,7339
36085018901,6,5296
36085018902,0,4987
36085019700,0,1906
36085020100,5,3443
36085020700,5,4931
36085020801,0,8332
36085020803,0,5432
36085020804,1,5315
36085021300,4,4210
36085022300,1,2313
36085022600,0,6343
36085023100,1,3422
36085023900,5,3022
36085024700,6,2388
36085024800,4,3956
36085025100,3,5811
36085027301,1,3669
36085027302,0,3904
36085027702,2,5913
36085027704,2,3956
36085027900,2,1807
36085029102,0,2393
36085029103,4,7542
36085029104,3,6919
36085030301,4,4845
36085030302,2,6150
36085031901,0,3262
36085031902,2,4202
36085032300,1,1108
